"AMBIENT AIR QUALITY MONITORING DATA FOR THE YEAR 2019
(Manual monitoring under National Ambient Air Quality Monitoring Programme)",Column2,Column3,Column4,Column5,Column6,Column7
Maharashtra,Dombivali,Dombivali MIDC Phase-II,190,11,54,27
Maharashtra,Jalgaon,B. J. Market,94,9,16,12
Maharashtra,,Girna water tank,213,9,15,12
Maharashtra,,MIDC Jalgaon,154,9,15,12
Maharashtra,Jalna,"Bachat Bhawan, Near S P Office",104,8,12,10
Maharashtra,,"Krishidhan Seeds Ltd, MIDC Area",172,8,12,10
Maharashtra,Kolhapur,"University Campus, Shivaji University",80,7,19,13
Maharashtra,,"Ruikar Trust, S.T. Stand",147,7,41,22
Maharashtra,,"Mahadwar Road, Near Mahalaxmi Temple",203,7,41,22
Maharashtra,Latur,MIDC Water Works,239,4,7,5
Maharashtra,,Kshewraj Vidyalaya Shyam nagar,104,4,7,5
Maharashtra,,Sidhheshwar Sahakari Bank Ganjgolai,172,4,7,5
Maharashtra,Mumbai,"Bank of India, Kalbadevi /Branch, Kalbadevi/
VARSOVA",84,2,4,2
Maharashtra,,"Parel TT, Ambedkar Road",88,2,4,2
Maharashtra,,Worli,87,2,5,2
Maharashtra,Nagpur,Institution of Engineers,100,9,23,13
Maharashtra,,"Govt. Polytechnic College, Sadar",96,8,23,14
Maharashtra,,MIDC Office Hingana Road,100,8,22,14
Maharashtra,,"MIDC Industrial Area, MIDC Office, Hingna",82,2,24,6
Maharashtra,,"Nagpur Coop Building, Maskasath, Itwari",79,2,12,5
Maharashtra,,"NEERI Lab, Nehru Marg, Highway No. 7",74,2,21,5
Maharashtra,,"MPCB Office Premises, Civil Lines",321,7,22,12
Maharashtra,Nashik,R.T.O. Colony Tank,154,2,19,10
Maharashtra,,"VIP Industrial Area, MIDC Satpura",104,2,17,10
Maharashtra,,Nashik Municipal Council Building,218,2,18,9
Maharashtra,,"MPCB Sub R.O. Udyog Bhawan, Nashik",305,2,30,9
Maharashtra,Navi Mumbai,"T.B.I.A, Rabale Airoli, TTC",103,13,23,17
Maharashtra,,"Dr. D.Y. Patil College, Nerul, TTC",229,13,23,17
Maharashtra,,"MPCB Lab, Mhape, TTC",168,12,25,17
Maharashtra,,CIDCO Nodal Office Kharghar,103,13,25,18
Maharashtra,,"Water Pump House, Panvel, Taloja",168,12,25,17
Maharashtra,,"MIDC Collom Facility Building, Taloja",229,12,25,17
Maharashtra,"Pimpri-
Chinchwad","Bank of Baroda Builing, Near M.C Builiding",199,6,75,28
Maharashtra,Pune,"Maratha Chamber of commerce, Bhosari",62,14,90,33
Maharashtra,,State Electricity Board BLDG Nalstop,113,6,90,32
Maharashtra,,Swargate Police Chawki,33,15,90,46
Maharashtra,Sangli,"Udyog bhavan / SRO, MPCB Sangli",99,6,13,9
Maharashtra,,Sangli- Miraj Primary school Building,226,6,21,10
Maharashtra,,Krishna Valley School,163,6,15,9
Maharashtra,Solapur,WIT Campus,102,11,21,17
Maharashtra,,Voronoko School / Chitale Clinic,144,11,21,16
Maharashtra,Thane,"Maternity Hospital, Dhobighat, Thane East",24,15,26,19
Maharashtra,,"Shahu Market,Naupada, Thane West",49,15,31,21
Maharashtra,,"Kolshet and Balkum, Thane West",73,13,31,20
Maharashtra,Ulhasnagar,Smt. C. H. M. College Campus,99,11,37,21
Maharashtra,,"Octroi Naka, Pawai-Chowk, Vithalwadi",107,12,48,27
Manipur,Imphal,Secretariat Building,32,3,18,9
Meghalaya,Byrnihat,"EPIP, Ri-Bhoi district",121,2,28,15
Meghalaya,Dawki,"Terrace building, Jaintia Hills District",121,2,24,7
Meghalaya,Khliehriat,"O/o BDO, C & R.D. Block-Khliehriat",122,2,4,3
